"GOFAR Data Export"
"Vehicle","From","To"
"New Car","01-Jan-2021","28-Mar-2021"
,,,,,,,,,,,,,,,,,,,,
"Start Odometer","End odometer","Total distance recorded","Business distance recorded","Business use percentage",,,,,,,,,,,,,,,
"39185","41309","2124.41","0.00","0.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Business trip method","Distance [km]","Rate","Total Claimable",,,,,,,,,,,,,,,,
"ATO","0.00","0.68","0.00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Type,Trip Index,Start Time,End Time,Fuel (L),Cost,Price per Litre,Start Location,End Location,Average Speed (km/h),Distance (km),Economy (L/100km),CO2 (kg),Acceleration Score,Braking Score,Business,Tags,Odometer Start (km),Odometer End (km),% difference between calculated odometer and actual odometer
"Trip","47","12-Mar-2021 19:54","12-Mar-2021 21:01","3.343","3.34","1.000","","","37","40.85","8.19","7.72","79.01","74.19","","","39546","39587","0.00%"
"Trip","48","12-Mar-2021 21:21","12-Mar-2021 21:27","0.229","0.23","1.000","","","13","1.25","18.33","0.52","66.71","52.29","","","39587","39588","0.00%"
"Trip","49","12-Mar-2021 22:32","12-Mar-2021 22:35","0.172","0.17","1.000","","","34","1.62","10.64","0.39","91.52","79.94","","","39588","39590","0.00%"
"Trip","50","13-Mar-2021 09:40","13-Mar-2021 10:44","4.002","4.00","1.000","","","51","53.58","7.47","9.24","79.00","77.73","","","39590","39644","0.00%"
"Trip","51","13-Mar-2021 12:03","13-Mar-2021 12:03","0.011","0.01","1.000","","","1","0.00","312.32","0.02","100.00","100.00","","","39644","39644","0.00%"
"Trip","52","13-Mar-2021 12:55","13-Mar-2021 13:08","0.822","0.82","1.000","","","27","5.93","13.86","1.89","77.53","70.57","","","39644","39650","0.00%"
"Trip","53","13-Mar-2021 13:50","13-Mar-2021 14:33","3.265","3.27","1.000","","","67","47.75","6.84","7.54","84.96","81.93","","","39650","39697","0.00%"
"Trip","54","13-Mar-2021 14:40","13-Mar-2021 15:02","0.742","0.74","1.000","","","8","3.06","24.26","1.71","82.32","66.89","","","39697","39700","0.00%"
"Trip","55","13-Mar-2021 16:49","13-Mar-2021 16:58","0.528","0.53","1.000","","Port Kennedy","26","3.84","13.77","1.22","73.24","70.14","","","39700","39704","0.00%"
"Trip","56","13-Mar-2021 17:05","13-Mar-2021 18:07","2.841","2.84","1.000","Port Kennedy","Port Kennedy","30","30.84","9.21","6.56","80.17","73.28","","","39704","39735","0.00%"
"Trip","57","13-Mar-2021 18:23","13-Mar-2021 19:04","1.929","1.93","1.000","Port Kennedy","Port Kennedy","33","22.38","8.62","4.45","86.87","75.75","","","39735","39757","0.00%"
"Trip","58","13-Mar-2021 19:07","13-Mar-2021 19:31","1.294","1.29","1.000","Port Kennedy","Port Kennedy","39","15.52","8.34","2.98","84.69","77.37","","","39757","39773","0.00%"
"Trip","59","13-Mar-2021 19:36","13-Mar-2021 19:49","0.473","0.47","1.000","Port Kennedy","Port Kennedy","20","4.26","11.13","1.09","82.23","71.15","","","39773","39777","0.00%"
"Trip","60","13-Mar-2021 19:52","13-Mar-2021 20:46","2.540","2.54","1.000","Port Kennedy","Port Kennedy","36","32.00","7.94","5.86","85.39","76.54","","","39777","39809","0.00%"
"Trip","61","13-Mar-2021 21:14","13-Mar-2021 21:27","0.774","0.77","1.000","Port Kennedy","Port Kennedy","43","9.29","8.34","1.78","88.52","80.29","","","39809","39819","0.00%"
"Trip","62","13-Mar-2021 21:32","13-Mar-2021 21:50","0.756","0.76","1.000","Port Kennedy","Port Kennedy","28","8.20","9.22","1.74","81.01","75.44","","","39819","39827","0.00%"
"Trip","63","13-Mar-2021 22:08","13-Mar-2021 22:11","0.170","0.17","1.000","Port Kennedy","Port Kennedy","32","1.59","10.69","0.39","84.82","72.36","","","39827","39828","0.00%"
"Trip","64","14-Mar-2021 11:44","14-Mar-2021 11:50","0.347","0.35","1.000","Port Kennedy","Port Kennedy","19","1.77","19.61","0.80","73.31","66.32","","","39828","39830","0.00%"
"Trip","65","14-Mar-2021 11:59","14-Mar-2021 12:00","0.051","0.05","1.000","Port Kennedy","Port Kennedy","0","0","999.00","0.11","100.00","100.00","","","39830","39830","0.00%"
"Trip","66","14-Mar-2021 12:11","14-Mar-2021 12:27","0.447","0.45","1.000","Port Kennedy","Port Kennedy","7","1.82","24.61","1.03","75.23","67.06","","","39830","39832","0.00%"
"Trip","67","14-Mar-2021 14:27","14-Mar-2021 14:43","1.058","1.06","1.000","Port Kennedy","Rockingham","32","8.66","12.21","2.44","74.21","72.10","","","39832","39841","0.00%"
"Trip","68","14-Mar-2021 14:56","14-Mar-2021 15:22","1.990","1.99","1.000","Rockingham","Port Kennedy","55","24.45","8.14","4.59","78.45","75.90","","","39841","39865","0.00%"
"Trip","69","14-Mar-2021 15:33","14-Mar-2021 15:37","0.189","0.19","1.000","Port Kennedy","Port Kennedy","29","1.52","12.42","0.43","83.72","70.88","","","39865","39867","0.00%"
"Trip","70","15-Mar-2021 11:54","15-Mar-2021 12:32","1.707","1.71","1.000","Port Kennedy","Rockingham","21","13.24","12.89","3.94","84.26","76.42","","","39867","39880","0.00%"
"Trip","71","15-Mar-2021 13:59","15-Mar-2021 14:09","0.502","0.50","1.000","Rockingham","Rockingham","20","3.48","14.46","1.16","83.23","73.38","","","39880","39883","0.00%"
"Trip","72","15-Mar-2021 14:49","15-Mar-2021 15:05","0.920","0.92","1.000","Rockingham","Port Kennedy","33","8.60","10.70","2.12","79.30","75.90","","","39883","39892","0.00%"
"Trip","73","15-Mar-2021 15:10","15-Mar-2021 15:14","0.260","0.26","1.000","Port Kennedy","Port Kennedy","19","1.39","18.66","0.60","63.24","59.39","","","39892","39893","0.00%"
"Trip","74","15-Mar-2021 16:11","15-Mar-2021 16:40","1.672","1.67","1.000","Port Kennedy","East Rockingham","36","16.98","9.84","3.86","75.73","72.48","","","39893","39910","0.00%"
"Trip","75","15-Mar-2021 16:43","15-Mar-2021 17:05","1.353","1.35","1.000","East Rockingham","Port Kennedy","51","18.16","7.45","3.12","85.71","81.20","","","39910","39928","0.00%"
"Trip","76","15-Mar-2021 21:18","15-Mar-2021 21:21","0.237","0.24","1.000","Port Kennedy","Port Kennedy","31","1.77","13.39","0.54","67.69","67.29","","","39928","39930","0.00%"
"Trip","77","15-Mar-2021 21:26","15-Mar-2021 21:29","0.182","0.18","1.000","Port Kennedy","Port Kennedy","32","1.59","11.45","0.42","84.84","70.58","","","39930","39932","0.00%"
"Trip","78","15-Mar-2021 22:25","15-Mar-2021 22:37","0.851","0.85","1.000","Port Kennedy","Baldivis","57","11.54","7.37","1.96","82.72","80.67","","","39932","39943","0.00%"
"Trip","79","15-Mar-2021 22:45","15-Mar-2021 22:58","0.867","0.87","1.000","Baldivis","Port Kennedy","54","11.31","7.66","2.00","89.85","82.99","","","39943","39955","0.00%"
"Trip","80","16-Mar-2021 11:45","16-Mar-2021 11:59","0.964","0.96","1.000","Port Kennedy","","38","8.91","10.82","2.22","79.62","75.61","","","39955","39964","0.00%"
"Trip","81","16-Mar-2021 12:26","16-Mar-2021 13:04","2.498","2.50","1.000","","","49","31.15","8.02","5.77","79.68","79.15","","","39964","39995","0.00%"
"Trip","82","16-Mar-2021 13:29","16-Mar-2021 13:57","1.988","1.99","1.000","","","51","23.37","8.51","4.59","79.97","77.57","","","39995","40018","0.00%"
"Trip","83","16-Mar-2021 14:23","16-Mar-2021 14:25","0.084","0.08","1.000","","","4","0.14","59.21","0.19","100.00","61.81","","","40018","40018","0.00%"
"Trip","84","16-Mar-2021 14:32","16-Mar-2021 14:55","0.433","0.43","1.000","","","1","0.27","161.93","0.99","63.42","73.29","","","40018","40018","0.00%"
"Trip","85","16-Mar-2021 14:59","16-Mar-2021 15:02","0.060","0.06","1.000","","","1","0.06","96.22","0.13","100.00","100.00","","","40018","40019","0.00%"
"Trip","86","16-Mar-2021 15:06","16-Mar-2021 15:09","0.247","0.25","1.000","","","29","1.80","13.71","0.57","75.13","66.22","","","40019","40020","0.00%"
"Trip","87","16-Mar-2021 16:16","16-Mar-2021 16:26","0.461","0.46","1.000","","","10","1.71","26.96","1.06","59.60","59.37","","","40020","40022","0.00%"
"Trip","88","16-Mar-2021 16:56","16-Mar-2021 17:21","1.187","1.19","1.000","","","23","9.55","12.43","2.74","75.81","70.30","","","40022","40032","0.00%"
"Trip","89","16-Mar-2021 17:34","16-Mar-2021 18:00","1.326","1.33","1.000","","","32","14.07","9.43","3.06","83.78","74.32","","","40032","40046","0.00%"
"Trip","90","16-Mar-2021 18:07","16-Mar-2021 18:53","2.176","2.18","1.000","","","30","23.04","9.45","5.02","75.72","73.26","","","40046","40069","0.00%"
"Trip","91","16-Mar-2021 18:56","16-Mar-2021 19:08","0.624","0.62","1.000","","","33","6.60","9.45","1.44","80.70","77.05","","","40069","40075","0.00%"
"Trip","92","16-Mar-2021 19:12","16-Mar-2021 19:46","1.933","1.93","1.000","","","37","20.47","9.44","4.46","76.47","72.25","","","40075","40096","0.00%"
"Trip","93","16-Mar-2021 20:28","16-Mar-2021 20:32","0.227","0.23","1.000","","","37","2.50","9.09","0.52","92.79","82.31","","","40096","40098","0.00%"
"Trip","94","16-Mar-2021 20:45","16-Mar-2021 20:50","0.223","0.22","1.000","","","16","1.36","16.42","0.51","74.68","74.68","","","40098","40100","0.00%"
"Trip","95","16-Mar-2021 23:01","16-Mar-2021 23:02","0.048","0.05","1.000","","","0","0","999.00","0.11","100.00","100.00","","","40100","40100","0.00%"
"Trip","96","17-Mar-2021 11:40","17-Mar-2021 11:49","0.314","0.31","1.000","","","0","0","999.00","0.72","100.00","100.00","","","40100","40100","0.00%"
"Trip","97","17-Mar-2021 12:04","17-Mar-2021 12:09","0.145","0.14","1.000","","","0","0","999.00","0.33","100.00","100.00","","","40100","40100","0.00%"
"Trip","98","17-Mar-2021 12:23","17-Mar-2021 13:01","1.076","1.08","1.000","","","0","0","999.00","2.48","100.00","100.00","","","40100","40100","0.00%"
"Trip","99","17-Mar-2021 13:58","17-Mar-2021 14:20","1.435","1.44","1.000","","","48","17.79","8.07","3.31","79.47","78.67","","","40100","40117","0.00%"
"Trip","100","17-Mar-2021 14:26","17-Mar-2021 15:10","2.530","2.53","1.000","","","31","22.60","11.19","5.84","75.52","72.79","","","40117","40140","0.00%"
"Trip","101","17-Mar-2021 16:14","17-Mar-2021 16:49","2.309","2.31","1.000","","","40","23.59","9.79","5.33","76.59","75.22","","","40140","40164","0.00%"
"Trip","102","17-Mar-2021 17:14","17-Mar-2021 17:19","0.263","0.26","1.000","","","21","1.72","15.33","0.60","78.56","74.27","","","40164","40165","0.00%"
